Unit	Days	Event
9136	33	Replacement	
9110	88	Replacement
9106	250	Replacement
9117	272	Replacement
9103	302	Replacement
9138	287	Replacement
9102	364	Replacement
9126	367	Replacement
9156	317	Replacement
9102	391	Replacement
9117	421	Replacement
9134	402	Replacement
9103	444	Replacement
9125	431	Replacement
9100	462	Replacement
9103	500	Replacement
9124	481	Replacement
9108	500	Replacement
9102	548	Replacement
9117	552	Replacement
9156	498	Replacement
9117	625	Replacement
9128	635	Replacement
9128	650	Replacement
9136	687	End
9110	724	End
9106	730	End
9117	719	End
9103	730	End
9138	687	End
9102	724	End
9126	710	End
9156	657	End
9134	700	End
9125	710	End
9100	730	End
9124	710	End
9108	724	End
9128	708	End

